Section,Type,ID,Language,Field,Content,Ecosystem Impact (-50 to +50),Economic Impact (-50 to +50),Community Impact (-50 to +50),Notes
SCENARIOS,pros,fishing-practices_unlimited-fishing,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,fishing-practices_unlimited-fishing,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,fishing-practices_marine-reserves,mi,text,Kesalultijik wjit puktuk,30,-10,5,
SCENARIOS,consequence,fishing-practices_marine-reserves,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,fishing-practices_marine-reserves,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,fishing-practices_marine-reserves,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,shipping-traffic,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,shipping-traffic,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk. Kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,shipping-traffic_speed-restrictions,mi,text,Kesalultijik wjit puktuk,15,-8,0,
SCENARIOS,consequence,shipping-traffic_speed-restrictions,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_speed-restrictions,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_speed-restrictions,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,shipping-traffic_ignore-whales,mi,text,Kesalultijik wjit puktuk,10,-5,0,
SCENARIOS,consequence,shipping-traffic_ignore-whales,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_ignore-whales,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_ignore-whales,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,shipping-traffic_detection-systems,mi,text,Kesalultijik wjit puktuk,25,-15,5,
SCENARIOS,consequence,shipping-traffic_detection-systems,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,shipping-traffic_detection-systems,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,shipping-traffic_detection-systems,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,renewable-energy,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,renewable-energy,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,renewable-energy_careful-planning,mi,text,Kesalultijik wjit puktuk,15,5,20,
SCENARIOS,consequence,renewable-energy_careful-planning,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_careful-planning,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_careful-planning,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,renewable-energy_no-renewables,mi,text,Kesalultijik wjit puktuk,-10,-5,-15,
SCENARIOS,consequence,renewable-energy_no-renewables,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_no-renewables,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_no-renewables,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,renewable-energy_adaptive-technology,mi,text,Kesalultijik wjit puktuk,20,-5,15,
SCENARIOS,consequence,renewable-energy_adaptive-technology,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,renewable-energy_adaptive-technology,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,renewable-energy_adaptive-technology,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,title,coastal-development,mi,title,Kesalultijik aqq Kiskukewey,,,,
SCENARIOS,description,coastal-development,mi,description,Kesalultijik wjit Nova Scotia aqq kesalultijik wjit puktuk.,,,,
SCENARIOS,choice,coastal-development_green-development,mi,text,Kesalultijik wjit puktuk,20,-5,15,
SCENARIOS,consequence,coastal-development_green-development,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,coastal-development_green-development,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,coastal-development_green-development,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,coastal-development_unrestricted-development,mi,text,Kesalultijik wjit puktuk,30,-10,-10,
SCENARIOS,consequence,coastal-development_unrestricted-development,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,coastal-development_unrestricted-development,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,coastal-development_unrestricted-development,mi,cons,Kesalultijik wjit puktuk,,,,
SCENARIOS,choice,coastal-development_buffer-zones-coastal,mi,text,Kesalultijik wjit puktuk,25,-8,12,
SCENARIOS,consequence,coastal-development_buffer-zones-coastal,mi,consequence,Kesalultijik wjit puktuk,,,,
SCENARIOS,pros,coastal-development_buffer-zones-coastal,mi,pros,Kesalultijik wjit puktuk,,,,
SCENARIOS,cons,coastal-development_buffer-zones-coastal,mi,cons,Kesalultijik wjit puktuk,,,,
UI_ELEMENTS,ui_text,WelcomeScreen_Title,en,Title,Guardians of the Scotian Shelf,,,,Main title
UI_ELEMENTS,ui_text,WelcomeScreen_Title,fr,Title,Gardiens du plateau continental scotian,,,,Main title
UI_ELEMENTS,ui_text,WelcomeScreen_Title,mi,Title,Ankamkewe'k Kespukek,,,,Main title
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,en,Subtitle,See how people's choices affect sea life near Nova Scotia,,,,Subtitle description
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,fr,Subtitle,Vois comment les choix des gens affectent la faune et la flore marines près de la Nouvelle-Écosse ,,,,Subtitle description
UI_ELEMENTS,ui_text,WelcomeScreen_Subtitle,mi,Subtitle,Wejkukuom talimkewe'k samqwanikatl Kespukek,,,,Subtitle description
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,en,Start Button,Start Playing,,,,Main CTA button
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,fr,Start Button,Commencer à jouer,,,,Main CTA button
UI_ELEMENTS,ui_text,WelcomeScreen_Start Button,mi,Start Button,Mawita'n,,,,Main CTA button
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,en,Touch Instruction,Touch to start,,,,Bottom instruction text
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,fr,Touch Instruction,Touche pour démarrer,,,,Bottom instruction text
UI_ELEMENTS,ui_text,WelcomeScreen_Touch Instruction,mi,Touch Instruction,Pekowsin mawita'si'k,,,,Bottom instruction text
UI_ELEMENTS,ui_text,ScenarioPreview_Title,en,Title,Your Ocean Challenge,,,,Main heading
UI_ELEMENTS,ui_text,ScenarioPreview_Title,fr,Title,Ton défi océan ,,,,Main heading
UI_ELEMENTS,ui_text,ScenarioPreview_Title,mi,Title,Samqwan alasutmaqan petkik,,,,Main heading
UI_ELEMENTS,ui_text,ScenarioPreview_Subtitle,en,Subtitle,Look at what you will do,,,,Description
UI_ELEMENTS,ui_text,ScenarioPreview_Subtitle,fr,Subtitle,Regardez ce que vous ferez,,,,Description
UI_ELEMENTS,ui_text,ScenarioPreview_Subtitle,mi,Subtitle,Nemi'j koqoey ketu nemitultine'k,,,,Description
UI_ELEMENTS,ui_text,ScenarioPreview_Start Button,en,Start Button,Start Challenge,,,,Main CTA
UI_ELEMENTS,ui_text,ScenarioPreview_Start Button,fr,Start Button,Commencer l'aventure,,,,Main CTA
UI_ELEMENTS,ui_text,ScenarioPreview_Start Button,mi,Start Button,Mawita'n kiskukewey,,,,Main CTA
UI_ELEMENTS,ui_text,ScenarioPreview_Back Button,en,Back Button,Go Back,,,,Navigation button
UI_ELEMENTS,ui_text,ScenarioPreview_Back Button,fr,Back Button,Retourner,,,,Navigation button
UI_ELEMENTS,ui_text,ScenarioPreview_Back Button,mi,Back Button,Apijiw piluei,,,,Navigation button
UI_ELEMENTS,ui_text,ScenarioPreview_Instruction,en,Instruction,You will make important choices,,,,Info text
UI_ELEMENTS,ui_text,ScenarioPreview_Instruction,fr,Instruction,Vous ferez des choix importants,,,,Info text
UI_ELEMENTS,ui_text,ScenarioPreview_Instruction,mi,Instruction,Msit koqoey ketu elkewek,,,,Info text
UI_ELEMENTS,ui_text,ScenarioPreview_Select Scenario,en,Select Scenario,Click on any story to start there,,,,Action instruction
UI_ELEMENTS,ui_text,ScenarioPreview_Select Scenario,fr,Select Scenario,Cliquez sur une histoire pour commencer,,,,Action instruction
UI_ELEMENTS,ui_text,ScenarioPreview_Select Scenario,mi,Select Scenario,Pekowsin koqoey mawita'si'k,,,,Action instruction
UI_ELEMENTS,ui_text,ScenarioCard_Question Prompt,en,Question Prompt,What would you do?,,,,Choice selection prompt
UI_ELEMENTS,ui_text,ScenarioCard_Question Prompt,fr,Question Prompt,Que ferais-tu,,,,Choice selection prompt
UI_ELEMENTS,ui_text,ScenarioCard_Question Prompt,mi,Question Prompt,Koqoey ketu elkewek?,,,,Choice selection prompt
UI_ELEMENTS,ui_text,ConsequenceModal_Title,en,Title,Think About What Happens,,,,Modal heading
UI_ELEMENTS,ui_text,ConsequenceModal_Title,fr,Title,Pense à ce qui se passe ,,,,Modal heading
UI_ELEMENTS,ui_text,ConsequenceModal_Title,mi,Title,Ankweyul koqoey wejkukewek,,,,Modal heading
UI_ELEMENTS,ui_text,ConsequenceModal_Your Choice Label,en,Your Choice Label,Your Choice:,,,,Section label
UI_ELEMENTS,ui_text,ConsequenceModal_Your Choice Label,fr,Your Choice Label,Ton choix ,,,,Section label
UI_ELEMENTS,ui_text,ConsequenceModal_Your Choice Label,mi,Your Choice Label,Kil koqoey:,,,,Section label
UI_ELEMENTS,ui_text,ConsequenceModal_Positive Impact,en,Positive Impact,Positives,,,,Pros section header
UI_ELEMENTS,ui_text,ConsequenceModal_Positive Impact,fr,Positive Impact,Point positifs,,,,Pros section header
UI_ELEMENTS,ui_text,ConsequenceModal_Positive Impact,mi,Positive Impact,Weli koqoey,,,,Pros section header
UI_ELEMENTS,ui_text,ConsequenceModal_Negative Impact,en,Negative Impact,Negatives,,,,Cons section header
UI_ELEMENTS,ui_text,ConsequenceModal_Negative Impact,fr,Negative Impact,Points négatifs,,,,Cons section header
UI_ELEMENTS,ui_text,ConsequenceModal_Negative Impact,mi,Negative Impact,Maw koqoey,,,,Cons section header
UI_ELEMENTS,ui_text,ConsequenceModal_Confirm Button,en,Confirm Button,Yes I Choose This,,,,Confirmation button
UI_ELEMENTS,ui_text,ConsequenceModal_Confirm Button,fr,Confirm Button,"Oui, je choisis ça.",,,,Confirmation button
UI_ELEMENTS,ui_text,ConsequenceModal_Confirm Button,mi,Confirm Button,Ketu'k koqoey,,,,Confirmation button
UI_ELEMENTS,ui_text,ConsequenceModal_Return Button,en,Return Button,Go Back to Choices,,,,Cancel button
UI_ELEMENTS,ui_text,ConsequenceModal_Return Button,fr,Return Button,Retour aux choix,,,,Cancel button
UI_ELEMENTS,ui_text,ConsequenceModal_Return Button,mi,Return Button,Eykisk koqoey elkewey,,,,Cancel button
UI_ELEMENTS,ui_text,ConsequenceModal_The Pros,en,The Pros,The pros,,,,Pros label
UI_ELEMENTS,ui_text,ConsequenceModal_The Pros,fr,The Pros,Les avantages,,,,Pros label
UI_ELEMENTS,ui_text,ConsequenceModal_The Pros,mi,The Pros,Weli koqoey,,,,Pros label
UI_ELEMENTS,ui_text,ConsequenceModal_The Cons,en,The Cons,The cons,,,,Cons label
UI_ELEMENTS,ui_text,ConsequenceModal_The Cons,fr,The Cons,Les inconvénients,,,,Cons label
UI_ELEMENTS,ui_text,ConsequenceModal_The Cons,mi,The Cons,Maw koqoey,,,,Cons label
UI_ELEMENTS,ui_text,GameActions_Back to Scenarios,en,Back to Scenarios,Back to Stories,,,,Navigation button
UI_ELEMENTS,ui_text,GameActions_Back to Scenarios,fr,Back to Scenarios,Retour aux histoires,,,,Navigation button
UI_ELEMENTS,ui_text,GameActions_Back to Scenarios,mi,Back to Scenarios,Kluskap koqoey,,,,Navigation button
UI_ELEMENTS,ui_text,GameActions_Restart,en,Restart,Start Over,,,,Reset button
UI_ELEMENTS,ui_text,GameActions_Restart,fr,Restart,Recommencer,,,,Reset button
UI_ELEMENTS,ui_text,GameActions_Restart,mi,Restart,Pilei mawita'sin,,,,Reset button
UI_ELEMENTS,ui_text,CompletionScreen_Title,en,Title,MISSION ACCOMPLISHED!,,,,Completion title
UI_ELEMENTS,ui_text,CompletionScreen_Title,fr,Title,Vous avez réussi!,,,,Completion title
UI_ELEMENTS,ui_text,CompletionScreen_Title,mi,Title,Ankamkewey kespek!,,,,Completion title
UI_ELEMENTS,ui_text,CompletionScreen_Subtitle,en,Subtitle,Your choices have an impact!,,,,Achievement description
UI_ELEMENTS,ui_text,CompletionScreen_Subtitle,fr,Subtitle,Vos choix ont un impact!,,,,Achievement description
UI_ELEMENTS,ui_text,CompletionScreen_Subtitle,mi,Subtitle,Kil koqoey ankamtimul!,,,,Achievement description
UI_ELEMENTS,ui_text,CompletionScreen_Message,en,Message,"Every choice we make changes ocean life. Pollution, development  and fishing affect sea life in many ways. Your choices today help decide what happens to the ocean tomorrow.",,,,Educational message
UI_ELEMENTS,ui_text,CompletionScreen_Message,fr,Message,"Chaque choix que nous faisons modifie le milieu océanique. La pollution, le développement immobilier, et la pêche affectent les écosystèmes marins de bien des manières. Les choix que tu fais aujourd’hui décident de ce qui arrivera à l’océan demain.",,,,Educational message
UI_ELEMENTS,ui_text,CompletionScreen_Message,mi,Message,Msit koqoey elkewekl menaqanej samqwan ukamskusuwakon. Pekisk aq pilei pu'tu'n kil koqoey elkewek nukta samqwanikatl kepmikatl.,,,,Educational message
UI_ELEMENTS,ui_text,CompletionScreen_Encouragement,en,Encouragement,Want to see what happens with different choices? Try again and pick different options to see how they change the ocean.,,,,Replay encouragement
UI_ELEMENTS,ui_text,CompletionScreen_Encouragement,fr,Encouragement,"Tu veux voir ce qui se passe en fonction de différents choix ? Essaie encore, et choisis différentes options pour voir leurs effets sur l’océan.",,,,Replay encouragement
UI_ELEMENTS,ui_text,CompletionScreen_Encouragement,mi,Encouragement,Ketu aqq koqoey nemituom? Ula koqoey elkewek aq nemi'j samqwan ankamtimul.,,,,Replay encouragement
UI_ELEMENTS,ui_text,CompletionScreen_Restart Button,en,Restart Button,Play Again,,,,Restart CTA
UI_ELEMENTS,ui_text,CompletionScreen_Restart Button,fr,Restart Button,Jouer encore,,,,Restart CTA
UI_ELEMENTS,ui_text,CompletionScreen_Restart Button,mi,Restart Button,Siawey ankamkewey,,,,Restart CTA
UI_ELEMENTS,ui_text,CompletionScreen_Your Impact,en,Your Impact,How You Did,,,,Impact section title
UI_ELEMENTS,ui_text,CompletionScreen_Your Impact,fr,Your Impact,Comment vous avez fait,,,,Impact section title
UI_ELEMENTS,ui_text,CompletionScreen_Your Impact,mi,Your Impact,Kil wenjo'taqn,,,,Impact section title
UI_ELEMENTS,ui_text,CompletionScreen_Excellent Work,en,Excellent Work,Great job! Your choices help keep the ocean healthy.,,,,High positive score message
UI_ELEMENTS,ui_text,CompletionScreen_Excellent Work,fr,Excellent Work,Bon travail ! Tes choix aident à garder l’océan en santé. ,,,,High positive score message
UI_ELEMENTS,ui_text,CompletionScreen_Excellent Work,mi,Excellent Work,Kelu wetulti'k! Kil koqoey elkewek pilei samqwanikatl ukepmikatl.,,,,High positive score message
UI_ELEMENTS,ui_text,CompletionScreen_Good Effort,en,Good Effort,Good work! Some of your choices help sea animals.,,,,Medium score message
UI_ELEMENTS,ui_text,CompletionScreen_Good Effort,fr,Good Effort,Bon travail! Certains de vos choix aident les animaux marins.,,,,Medium score message
UI_ELEMENTS,ui_text,CompletionScreen_Good Effort,mi,Good Effort,Pilei wetulti'k! Apjiw kil koqoey elkewek kepmikatl samqwanikatl.,,,,Medium score message
UI_ELEMENTS,ui_text,CompletionScreen_Try Again,en,Try Again,Try again with different choices to help sea animals more.,,,,Low score message
UI_ELEMENTS,ui_text,CompletionScreen_Try Again,fr,Try Again,Essaie encore avec différents choix pour aider à mieux protéger la faune et la flore marines.,,,,Low score message
UI_ELEMENTS,ui_text,CompletionScreen_Try Again,mi,Try Again,Aqq nikma koqoey elkewek pilei samqwanikatl ukepmikatil.,,,,Low score message
UI_ELEMENTS,ui_text,HealthTransitionScreen_Title,en,Title,Ocean Impact,,,,Impact screen title
UI_ELEMENTS,ui_text,HealthTransitionScreen_Title,fr,Title,Effet sur l’océan ,,,,Impact screen title
UI_ELEMENTS,ui_text,HealthTransitionScreen_Title,mi,Title,Kepkek ta'n telitaqsit,,,,Impact screen title
UI_ELEMENTS,ui_text,HealthTransitionScreen_Impact Text,en,Impact Text,Your choice has changed the ocean health...,,,,Impact description
UI_ELEMENTS,ui_text,HealthTransitionScreen_Impact Text,fr,Impact Text,Votre choix a changé la santé de l'océan...,,,,Impact description
UI_ELEMENTS,ui_text,HealthTransitionScreen_Impact Text,mi,Impact Text,Kil koqoey kesalul kepkek wula'tioqn...,,,,Impact description
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Scenario,en,Next Scenario,Next scenario,,,,Continue to next
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Scenario,fr,Next Scenario,Prochain scénario,,,,Continue to next
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Scenario,mi,Next Scenario,Aq tett,,,,Continue to next
UI_ELEMENTS,ui_text,HealthTransitionScreen_Final Results,en,Final Results,Final results,,,,Go to completion
UI_ELEMENTS,ui_text,HealthTransitionScreen_Final Results,fr,Final Results,Résultats finals,,,,Go to completion
UI_ELEMENTS,ui_text,HealthTransitionScreen_Final Results,mi,Final Results,Klu'su'n,,,,Go to completion
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Button,en,Next Button,Next,,,,Continue button
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Button,fr,Next Button,Suivant,,,,Continue button
UI_ELEMENTS,ui_text,HealthTransitionScreen_Next Button,mi,Next Button,Aqq,,,,Continue button
UI_ELEMENTS,ui_text,CompactHealthMeters_Marine Health,en,Marine Health,Ocean Health,,,,Health section title
UI_ELEMENTS,ui_text,CompactHealthMeters_Marine Health,fr,Marine Health,Santé de l'océan,,,,Health section title
UI_ELEMENTS,ui_text,CompactHealthMeters_Marine Health,mi,Marine Health,Samqwan ukamkinu'kuom,,,,Health section title
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem,en,Ecosystem,Animals & Plants,,,,Ecosystem health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem,fr,Ecosystem,Animaux et plantes,,,,Ecosystem health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem,mi,Ecosystem,Ukamkinu'kuom,,,,Ecosystem health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic,en,Economic,Money & Jobs,,,,Economic health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic,fr,Economic,Économie,,,,Economic health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic,mi,Economic,Toqwa'tu'k,,,,Economic health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Community,en,Community,People,,,,Community health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Community,fr,Community,Les gens,,,,Community health label
UI_ELEMENTS,ui_text,CompactHealthMeters_Community,mi,Community,L'nui,,,,Community health label
UI_ELEMENTS,ui_text,HealthMeters_Marine Health Status,en,Marine Health Status,How Healthy is the Ocean,,,,Full health display title
UI_ELEMENTS,ui_text,HealthMeters_Marine Health Status,fr,Marine Health Status,Comment va l'océan,,,,Full health display title
UI_ELEMENTS,ui_text,HealthMeters_Marine Health Status,mi,Marine Health Status,Samqwanikatl ukamkinu'kuom,,,,Full health display title
UI_ELEMENTS,ui_text,HealthMeters_Ecosystem Health,en,Ecosystem Health,Animals & Plants Health,,,,Full ecosystem label
UI_ELEMENTS,ui_text,HealthMeters_Ecosystem Health,fr,Ecosystem Health,Santé des animaux et plantes,,,,Full ecosystem label
UI_ELEMENTS,ui_text,HealthMeters_Ecosystem Health,mi,Ecosystem Health,Ukamkinu'kuom samqwan,,,,Full ecosystem label
UI_ELEMENTS,ui_text,HealthMeters_Economic Health,en,Economic Health,Money & Jobs Health,,,,Full economic label
UI_ELEMENTS,ui_text,HealthMeters_Economic Health,fr,Economic Health,Santé de l'argent et des emplois,,,,Full economic label
UI_ELEMENTS,ui_text,HealthMeters_Economic Health,mi,Economic Health,Toqwa'tu'k samqwan,,,,Full economic label
UI_ELEMENTS,ui_text,HealthMeters_Community Health,en,Community Health,People's Health,,,,Full community label
UI_ELEMENTS,ui_text,HealthMeters_Community Health,fr,Community Health,Santé des gens,,,,Full community label
UI_ELEMENTS,ui_text,HealthMeters_Community Health,mi,Community Health,L'nui samqwan,,,,Full community label
UI_ELEMENTS,ui_text,HealthStatus_Thriving,en,Thriving,Doing Great,,,,80%+ health status
UI_ELEMENTS,ui_text,HealthStatus_Thriving,fr,Thriving,Ça va très bien ,,,,80%+ health status
UI_ELEMENTS,ui_text,HealthStatus_Thriving,mi,Thriving,Pilei,,,,80%+ health status
UI_ELEMENTS,ui_text,HealthStatus_Stable,en,Stable,Doing OK,,,,60-79% health status
UI_ELEMENTS,ui_text,HealthStatus_Stable,fr,Stable,Ça va bien,,,,60-79% health status
UI_ELEMENTS,ui_text,HealthStatus_Stable,mi,Stable,Nukek,,,,60-79% health status
UI_ELEMENTS,ui_text,HealthStatus_Declining,en,Declining,Not Good,,,,40-59% health status
UI_ELEMENTS,ui_text,HealthStatus_Declining,fr,Declining,Ça ne va pas bien,,,,40-59% health status
UI_ELEMENTS,ui_text,HealthStatus_Declining,mi,Declining,Tepisq,,,,40-59% health status
UI_ELEMENTS,ui_text,HealthStatus_Critical,en,Critical,Very Bad,,,,Below 40% health status
UI_ELEMENTS,ui_text,HealthStatus_Critical,fr,Critical,Ça va très mal,,,,Below 40% health status
UI_ELEMENTS,ui_text,HealthStatus_Critical,mi,Critical,Mekij,,,,Below 40% health status
UI_ELEMENTS,ui_text,InactivityModal_Title,en,Title,You've been away for a while,,,,Inactivity modal title
UI_ELEMENTS,ui_text,InactivityModal_Title,fr,Title,Vous êtes absent depuis un moment,,,,Inactivity modal title
UI_ELEMENTS,ui_text,InactivityModal_Title,mi,Title,Telkisqewe'k kiju,,,,Inactivity modal title
UI_ELEMENTS,ui_text,InactivityModal_Still Here Button,en,Still Here Button,I'm still here,,,,Still here button
UI_ELEMENTS,ui_text,InactivityModal_Still Here Button,fr,Still Here Button,Je suis toujours là,,,,Still here button
UI_ELEMENTS,ui_text,InactivityModal_Still Here Button,mi,Still Here Button,Aqq tett naka,,,,Still here button
UI_ELEMENTS,ui_text,InactivityModal_Start Over Button,en,Start Over Button,Start over,,,,Start over button
UI_ELEMENTS,ui_text,InactivityModal_Start Over Button,fr,Start Over Button,Recommencer,,,,Start over button
UI_ELEMENTS,ui_text,InactivityModal_Start Over Button,mi,Start Over Button,Pilei mawita'sin,,,,Start over button
UI_ELEMENTS,ui_text,InactivityModal_Auto Redirect,en,Auto Redirect,Auto-redirect in {countdown} seconds,,,,Auto redirect countdown
UI_ELEMENTS,ui_text,InactivityModal_Auto Redirect,fr,Auto Redirect,Redirection automatique dans {countdown} secondes,,,,Auto redirect countdown
UI_ELEMENTS,ui_text,InactivityModal_Auto Redirect,mi,Auto Redirect,Apijiw-kijatukun {countdown} sekunt,,,,Auto redirect countdown
UI_ELEMENTS,ui_text,LanguageSelector_English Button,en,English Button,English,,,,English language button
UI_ELEMENTS,ui_text,LanguageSelector_English Button,fr,English Button,English,,,,English language button
UI_ELEMENTS,ui_text,LanguageSelector_English Button,mi,English Button,English,,,,English language button
UI_ELEMENTS,ui_text,LanguageSelector_French Button,en,French Button,Français,,,,French language button
UI_ELEMENTS,ui_text,LanguageSelector_French Button,fr,French Button,Français,,,,French language button
UI_ELEMENTS,ui_text,LanguageSelector_French Button,mi,French Button,Français,,,,French language button
UI_ELEMENTS,ui_text,LanguageSelector_Mikmaw Button,en,Mikmaw Button,Mi'kmaw,,,,Mi'kmaw language button
UI_ELEMENTS,ui_text,LanguageSelector_Mikmaw Button,fr,Mikmaw Button,Mi'kmaw,,,,Mi'kmaw language button
UI_ELEMENTS,ui_text,LanguageSelector_Mikmaw Button,mi,Mikmaw Button,Mi'kmaw,,,,Mi'kmaw language button
UI_ELEMENTS,ui_text,OfflineStatus_Offline Message,en,Offline Message,You're currently offline,,,,Offline status message
UI_ELEMENTS,ui_text,OfflineStatus_Offline Message,fr,Offline Message,Vous êtes actuellement hors ligne,,,,Offline status message
UI_ELEMENTS,ui_text,OfflineStatus_Offline Message,mi,Offline Message,Maw kelulti'k,,,,Offline status message
UI_ELEMENTS,ui_text,OfflineStatus_Online Text,en,Online Text,Online,,,,Online status text
UI_ELEMENTS,ui_text,OfflineStatus_Online Text,fr,Online Text,En ligne,,,,Online status text
UI_ELEMENTS,ui_text,OfflineStatus_Online Text,mi,Online Text,Kelulti'k,,,,Online status text
UI_ELEMENTS,ui_text,OfflineStatus_Offline Text,en,Offline Text,Offline,,,,Offline status text
UI_ELEMENTS,ui_text,OfflineStatus_Offline Text,fr,Offline Text,Hors ligne,,,,Offline status text
UI_ELEMENTS,ui_text,OfflineStatus_Offline Text,mi,Offline Text,Maw kelulti'k,,,,Offline status text
UI_ELEMENTS,ui_text,CompactHealthMeters_Title,en,Title,Ocean Health,,,,Main health meters title
UI_ELEMENTS,ui_text,CompactHealthMeters_Title,fr,Title,Santé de l’Océan.,,,,Main health meters title
UI_ELEMENTS,ui_text,CompactHealthMeters_Title,mi,Title,Samqwan ukamkinu'kuom,,,,Main health meters title
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem_Subtitle,en,Ecosystem Subtitle,Fish whales plants and other marine life,,,,Ecosystem health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem_Subtitle,fr,Ecosystem Subtitle,Poissons baleines plantes et autres vies marines,,,,Ecosystem health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Ecosystem_Subtitle,mi,Ecosystem Subtitle,Nam tett pukwesultiek,,,,Ecosystem health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic_Subtitle,en,Economic Subtitle,Fishing jobs and coastal businesses,,,,Economic health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic_Subtitle,fr,Economic Subtitle,Emplois de pêche et entreprises côtières,,,,Economic health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Economic_Subtitle,mi,Economic Subtitle,Lukwaqan na nekmultimk,,,,Economic health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Community_Subtitle,en,Community Subtitle,Health and wellbeing of communities,,,,Community health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Community_Subtitle,fr,Community Subtitle,Santé et bien-être des communautés,,,,Community health subtitle
UI_ELEMENTS,ui_text,CompactHealthMeters_Community_Subtitle,mi,Community Subtitle,L'nui samqwan,,,,Community health subtitle
UI_ELEMENTS,ui_text,Progress_Label,en,Progress Label,Progress,,,,Progress indicator label
UI_ELEMENTS,ui_text,Progress_Label,fr,Progress Label,Progrès,,,,Progress indicator label
UI_ELEMENTS,ui_text,Progress_Label,mi,Progress Label,Kiseluktuk,,,,Progress indicator label
UI_ELEMENTS,ui_text,Progress_Counter,en,Progress Counter,{current} / {total} completed,,,,Progress counter text
UI_ELEMENTS,ui_text,Progress_Counter,fr,Progress Counter,{current} / {total} complétés,,,,Progress counter text
UI_ELEMENTS,ui_text,Progress_Counter,mi,Progress Counter,{current} / {total} kisuloq,,,,Progress counter text